name,org,category,oss_triangle,license,scale,modalities,embodiment,task_type,format_access,cpu_feasibility,udos_fit,source_url,evidence,source_class
"LeRobot (framework, incl. SmolVLA / SO-100)",Hugging Face,VLA / 机器人学习框架与硬件生态,"代码:是(Apache-2.0, github.com/huggingface/lerobot, pip install lerobot);权重:是(SmolVLA 等模型权重上 HF Hub);数据:是(LeRobot v2/v3 格式社区数据集,~481-487 个,~10.6M 帧,<30k episodes)",Apache-2.0(代码与权重;数据集按贡献者各自 license),框架;SmolVLA ~450M 参数;SO-100 为 6-DOF 开源臂硬件,RGB(单/多相机)+本体状态(proprio)+语言指令;连续动作(action chunking),SO-100/SO-101、Koch、双臂、移动臂等低成本本体,通用操作策略 BC/扩散微调;LIBERO/Meta-World/真机,PyTorch + HF datasets(streaming);LeRobotDataset v2/v3 parquet,"高:纯 CPU 可解析数据集格式、跑数据管线与最小前向/单元测试;权重推理仍需 GPU,但代码结构可作架构参考",高——直接对照 wla(action chunking/RVQ 动作分块)与 gpm(第二引擎的离线 BC 训练范式);数据集 streaming/parquet 格式可参考 spatial/digital_twin 的数据接口,https://github.com/huggingface/lerobot ; https://huggingface.co/lerobot ; https://arxiv.org/html/2602.22818v1,官方一手(GitHub/PyPI/论文),模型库
OpenVLA,Stanford / TRI / UC Berkeley / Google DeepMind / MIT,VLA(离散动作 token 化),"代码:是(MIT/Apache-2.0, github.com/openvla/openvla);权重:是(HF openvla/openvla-7b);数据:否(复用 Open X-Embodiment,非本项目重分发)","代码 MIT(部分来源标 Apache-2.0);权重基于 Llama-2,受 Llama 2 Community License 约束",7B 参数;970k 真实机器人轨迹(Open X-Embodiment),RGB(双视觉编码 DINOv2+SigLIP)+语言;动作离散化为 256-bin token;7 维动作,多本体(Open-X 22 种);可 LoRA 适配新本体,语言条件通用操作,HF Transformers / PyTorch safetensors,低(权重 7B 只能作架构参考;代码可在 CPU 读 config/数据预处理逻辑),中——动作离散化(分箱+下一 token 预测)可类比 wla 的 VQ 动作分词;LoRA 适配思路可参考 self_train,https://openvla.github.io/ ; https://github.com/openvla/openvla ; https://huggingface.co/openvla/openvla-7b,官方一手,模型库
Octo / Octo-Small / Octo-Base,UC Berkeley / Stanford / CMU / Google DeepMind,VLA / 通用策略(扩散动作头),"代码:是(MIT, github.com/octo-models/octo,JAX);权重:是(Octo-Small 27M / Octo-Base 93M);数据:否(用 OXE)",MIT,"27M / 93M 参数;~800k episodes,25 个 OXE 数据集,9 种本体",RGB(多相机)+语言或 goal-image;本体状态;扩散动作头,多本体(Open-X);可快速微调到新观测/动作空间,通用操作,JAX/Flax;openvla 式 checkpoint,"中:27M/93M 小模型,CPU 可跑前向与小 demo(慢),JAX 生态较重;架构可直接参考","高——可变形的输入 adapter(embodiment-agnostic)与扩散动作头,直接对照 wla 的 flow 解码器与 gpm 第二引擎;是 UDOS 最值得细读的轻量参考",https://octo-models.github.io/ ; https://github.com/octo-models/octo ; https://arxiv.org/pdf/2405.12213v2,官方一手,模型库
openpi (π0 / π0-FAST / π0.5),Physical Intelligence,VLA(flow matching / 自回归 FAST),"代码:是(github.com/Physical-Intelligence/openpi);权重:是(π0/π0-FAST/π0.5 checkpoint,GCS/HF);数据:否(10,000+ 小时内部数据不外发)",源码 Apache-2.0 类;权重见 repo LICENSE(研究/商用条款需查官方 README)[UNVERIFIED 具体条款],"π0 ~3B;π0.5 ~3.3B;预训练 10,000+ 小时机器人数据",RGB(多相机)+语言;flow matching 连续动作 / FAST 自回归动作 token,多本体;π0.5 支持移动操作臂,"通用操作 / 移动操作,开放世界泛化",PyTorch;openpi 包;checkpoint 在 gs://openpi-assets,低(3B 权重仅作架构参考;flow matching/FAST 分词器设计可读),高——flow matching 动作专家与 FAST 动作分词器直接对照 wla 的 flow 解码器与 RVQ;π0.5 的知识隔离(knowledge insulation)可参考 icm/icm 外挂记忆,https://www.pi.website/blog/openpi ; https://github.com/Physical-Intelligence/openpi,官方一手(权重 license 细节 [UNVERIFIED]),模型库
RT-X / Open X-Embodiment (RT-1-X / RT-2-X),Google DeepMind + 33 实验室,跨本体协作数据集 + RT 模型,"代码:是(github.com/google-deepmind/open_x_embodiment);数据:是(1M+ episodes,RLDS/tfrecord);权重:部分(RT-1-X checkpoint;RT-2-X 55B 主要发布结果,非完整权重开放)",数据集按各子数据集原始 license 混合;代码 Apache 类,"1M+ 真实轨迹,22 种本体,60 个数据集;RT-1-X 35M,RT-2-X 55B",RGB+本体状态+语言;连续/离散动作,单臂/双臂/四足跨本体,跨本体迁移通用操作,RLDS(tfrecord)+ TFDS,中:tfrecord 可在 CPU 流式解析做数据格式调研;模型训练需 TPU/GPU,"中——跨本体数据混合加权与本体 adapter 设计,参考 gpm/world_model 的多本体归一化;RLDS 时间序列 schema 可对照 ctm_engine 的时序事件格式",https://robotics-transformer-x.github.io/ ; https://arxiv.org/pdf/2310.08864v4 ; https://github.com/google-deepmind/open_x_embodiment,官方一手,模型库
RDT-1B (Robotics Diffusion Transformer),清华大学 TSAIL(朱军团队),扩散基础模型(双臂操作),代码:是(github.com/thu-ml/RoboticsDiffusionTransformer);权重:是(HF thu-ml/RDT-1B);数据:是(预训练用 OXE 等;ALOHA 双臂微调 6k+ episodes),"代码 MIT;权重 license 来源冲突(promptlayer 标 MIT,railwail 标 CC-BY-NC 类)——[UNVERIFIED,以 HF 模型卡为准]",1.2B 参数(DiT 28 层);46 数据集 1M+ episodes 预训练;6k+ ALOHA episodes 微调,RGB(最多 3 视角)+语言;预测未来 64 步动作;双臂 14 维,ALOHA 双臂;兼容多数移动操作臂,双臂操作,PyTorch,低(1.2B 仅架构参考;扩散动作 chunk 设计可读),"中——DiT 扩散动作头 + 多视角多模态融合,对照 wla flow 解码器;双臂动作分块可参考",https://rdt-robotics.github.io/rdt-robotics/ ; https://github.com/thu-ml/RoboticsDiffusionTransformer ; https://arxiv.org/abs/2410.07864,官方一手(权重 license [UNVERIFIED]),模型库
CogACT,清华大学 / Microsoft Research Asia,VLA(认知-动作协同),代码:是(项目页公开);权重:是(公开);数据:复用公开机器人数据,MIT(据 opensourceai.tech;代码/模型公开),"基于 Prismatic(DINOv2+SigLIP+语言),~7B 级 VLA 架构 [UNVERIFIED 精确参数]",RGB+语言;扩散动作头;认知推理与动作协同,单臂/双臂操作,操作 + 认知推理协同,PyTorch,低(7B 级仅架构参考),中——'认知与动作协同'设计直接对照 latent_reasoner/reasoning_router 与 wla 的分层(先推理后动作),https://arxiv.org/html/2411.19650v1 ; https://opensourceai.tech/project/microsoft-cogact.html,论文一手 + 二手 license(参数 [UNVERIFIED]),模型库
SmolVLA,Hugging Face(LeRobot 团队),紧凑型 VLA,"代码:是(lerobot 内);权重:是(HF lerobot/smolvlv 系);数据:是(LeRobot 社区 481-487 数据集,~10.6M 帧)",Apache-2.0,~450M 参数(SigLIP 视觉 400M + SmolLM2 135M 语言 + 扩散动作头),RGB+语言+本体状态;扩散动作头;action chunking,SO-100/SO-101、Koch 等低成本臂;双臂/移动,通用操作;消费级 GPU 可微调,LeRobot/PyTorch;HF Hub,"中:450M 仍需 GPU 推理,但代码/数据管线完全可读;CPU 可跑数据与最小单元测试",高——'小模型+社区数据+扩散动作头'是 UDOS 轻量路线的最佳对照;action chunking 直接映射 wla,https://huggingface.co/lerobot/smolvla_base ; https://smolvla.net/index_en ; https://aiwiki.ai/wiki/smolvla,官方一手,模型库
TinyVLA,研究者社区(论文 tiny-vla.github.io),紧凑型 VLA,代码:是(项目页);权重:是(基于预训练多模态模型初始化 + LoRA 5% 可训练参数 + 扩散解码器),随上游预训练模型 license(Phi-2 等)[UNVERIFIED 整体],冻结上游主干 + 线性投影 + 扩散策略解码器;可训练参数仅 ~5%,RGB+语言;扩散动作解码器;LoRA,操作臂,快速数据高效操作策略,PyTorch,中:思路(冻结主干+小解码器)对 CPU-only 的 UDOS 极具参考价值,高——'冻结大表征 + 极小可训动作头'正是 UDOS CPU-only 第二引擎 gpm 的范式对照;LoRA/PEFT 可参考 self_train,https://tiny-vla.github.io/ ; https://arxiv.org/html/2409.12514v2,论文/项目页一手,模型库
MobileVLA,研究者社区(MobileVLA / MobileVLA-R1),端侧/移动机器人 VLA,代码:是(github.com 等);权重:是(基于 LLaMA3-8B 主干 + LoRA),LLaMA-3 Community License(权重);代码开源,LLaMA3-8B 主干;LoRA 适配;面向移动操作,RGB+语言+本体;动作;移动机器人长时任务,移动操作机器人,移动操作 / 长程任务(含 MobileVLA-R1 RL),PyTorch,低(8B 主干仅参考),中——端侧部署与 LoRA 微调思路参考;R1 强化学习可对照 self_evolution,https://arxiv.org/html/2511.17889 ; https://github.com/AIGeeksGroup/MobileVLA-R1,论文一手,模型库
